,train 1 mse,val mse,train 2 mse,test mse,test R^2,delta train 1 and val,delta train 2 and test,training 1 time (s),train 1 prediction time (s),val prediction time (s),training 2 time (s),train 2 prediction time (s),test prediction time (s),# params,Complexity
rfr,0.0043581070228895825,0.00680383158556866,0.0046616862429797986,0.006374786567091443,0.8352658985437227,0.0024457245626790776,0.0017131003241116442,1.0444073677062988,0.10840487480163574,0.10758423805236816,1.457993984222412,0.10864019393920898,0.10795831680297852,,"(10, 50)"
lstm,0.006427177228033543,0.0062741306610405445,0.006386457476764917,0.007392651867121458,,0.00015304656699299812,0.0010061943903565407,1289.8389420509338,13.255283117294312,4.003075838088989,262.5540153980255,15.85809874534607,4.005929231643677,22236.0,
rnn,0.007218561600893736,0.006901767570525408,0.007137345150113106,0.007631000131368637,,0.0003167940303683281,0.0004936549812555313,209.27867436408997,1.7954444885253906,0.5364181995391846,266.3111524581909,2.002521514892578,0.5350158214569092,2412.0,
mlr,0.018745391566296617,0.018574350500156305,0.0186310896404002,0.018197579964307826,0.52975506800626,0.00017104106614031223,0.0004335096760923751,1.7636897563934326,0.6983847618103027,0.03868269920349121,0.2050464153289795,0.1335289478302002,0.04006671905517578,180.0,
naive_12h,0.02395452875179648,0.023080898467503577,,0.023312544713763036,0.0,0.000873630284292902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
